title,relation,tail,title,article
contact,make,where,TITLE VII PROCUREMENT AND CONCESSIONS,Article 169  Contacts during the procurement procedure 
contact,provide,for in article 151,TITLE VII PROCUREMENT AND CONCESSIONS,Article 169  Contacts during the procurement procedure 
authorise officer responsible,decide,to whom the contract is to be awarded in compliance with the selection and award criteria specified in the procurement documents,TITLE VII PROCUREMENT AND CONCESSIONS,Article 170  Award decision and information to candidates or tenderers 
contract,be,to be awarded in compliance with the selection and award criteria specified in the procurement documents,TITLE VII PROCUREMENT AND CONCESSIONS,Article 170  Award decision and information to candidates or tenderers 
contracting authority,notify,all candidates or tenderers whose requests to participate or tenders,TITLE VII PROCUREMENT AND CONCESSIONS,Article 170  Award decision and information to candidates or tenderers 
contracting authority,reject,of the grounds on which the decision was taken as well as the duration of the standstill periods referred to in articles 175(2) and 178(1,TITLE VII PROCUREMENT AND CONCESSIONS,Article 170  Award decision and information to candidates or tenderers 
decision,take,on which,TITLE VII PROCUREMENT AND CONCESSIONS,Article 170  Award decision and information to candidates or tenderers 
decision,refer,to in articles 175(2) and 178(1,TITLE VII PROCUREMENT AND CONCESSIONS,Article 170  Award decision and information to candidates or tenderers 
contracting authority,inform,the tenderers of the result of the evaluation for the award of specific contracts under a framework contract with reopening of competition,TITLE VII PROCUREMENT AND CONCESSIONS,Article 170  Award decision and information to candidates or tenderers 
contracting authority,inform,each tenderer who is not in an exclusion situation referred to in article 136(1) who is not rejected under article 141 whose tender is compliant with the procurement documents and who makes a request in writing of any of the following: the name of the tenderer or tenderers in the case of a framework contract to whom the contract is awarded and except in the case of a specific contract under a framework contract with reopening of competition the characteristics and relative advantages of the successful tender the price paid or contract value whichever is appropriate the progress of negotiation and dialogue with tenderers,TITLE VII PROCUREMENT AND CONCESSIONS,Article 170  Award decision and information to candidates or tenderers 
tender,be,compliant with the procurement documents,TITLE VII PROCUREMENT AND CONCESSIONS,Article 170  Award decision and information to candidates or tenderers 
contracting authority,decide,to withhold certain information where the contracting authority release would impede law enforcement however,TITLE VII PROCUREMENT AND CONCESSIONS,Article 170  Award decision and information to candidates or tenderers 
contract authority release,impede,law enforcement where,TITLE VII PROCUREMENT AND CONCESSIONS,Article 170  Award decision and information to candidates or tenderers 
contracting authority,sign,cancel the procurement procedure without the candidates or tenderers being entitled to claim any compensation,TITLE VII PROCUREMENT AND CONCESSIONS,Article 171  Cancellation of the procurement procedure 
candidate tenderer,entitle,to claim any compensation,TITLE VII PROCUREMENT AND CONCESSIONS,Article 171  Cancellation of the procurement procedure 
decision,bring,to the attention of the candidates or tenderers as soon as possible,TITLE VII PROCUREMENT AND CONCESSIONS,Article 171  Cancellation of the procurement procedure 
contracting authority,modify,a contract or framework contract without a procurement procedure only in the cases provided for in paragraph 3,TITLE VII PROCUREMENT AND CONCESSIONS,Article 172  Performance and modifications of the contract 
contracting authority,provide,the modification,TITLE VII PROCUREMENT AND CONCESSIONS,Article 172  Performance and modifications of the contract 
contracting authority,alter,the subject matter of the contract or framework contract,TITLE VII PROCUREMENT AND CONCESSIONS,Article 172  Performance and modifications of the contract 
contract,modify,without a new procurement procedure in any of the following cases,TITLE VII PROCUREMENT AND CONCESSIONS,Article 172  Performance and modifications of the contract 
follow condition,fulfil,where,TITLE VII PROCUREMENT AND CONCESSIONS,Article 172  Performance and modifications of the contract 
change contractor,make,a contract a framework contract or a specific contract under a framework contract may be modified without a new procurement procedure in any of the following cases: for additional works supplies or services by the original contractor that have become necessary and that were not included in the initial procurement where the following conditions are fulfilled for technical reasons linked to interchangeability or interoperability requirements with existing equipment services or installations (ii),TITLE VII PROCUREMENT AND CONCESSIONS,Article 172  Performance and modifications of the contract 
change contractor,cause,substantial duplication of costs for the contracting authority (iii),TITLE VII PROCUREMENT AND CONCESSIONS,Article 172  Performance and modifications of the contract 
increase price include net cumulative value successive modification,exceed,50  of the initial contract value where all of the following conditions are fulfilled,TITLE VII PROCUREMENT AND CONCESSIONS,Article 172  Performance and modifications of the contract 
follow condition,fulfil,where,TITLE VII PROCUREMENT AND CONCESSIONS,Article 172  Performance and modifications of the contract 
need modification,bring,any ensuing modification of value complies with the conditions set out in point of this subparagraph a contract a framework contract or a specific contract under a framework contract may be modified without a new procurement procedure in any of the following cases: for additional works supplies or services by the original contractor that have become necessary and that were not included in the initial procurement where the following conditions are fulfilled: a change of contractor cannot be made for technical reasons linked to interchangeability or interoperability requirements with existing equipment services or installations (ii) a change of contractor would cause substantial duplication of costs for the contracting authority (iii) by circumstances which a diligent contracting authority could not foresee (ii) unless such modification of value results from the strict application of the procurement documents or contractual provisions,TITLE VII PROCUREMENT AND CONCESSIONS,Article 172  Performance and modifications of the contract 
